account_id,customer_id,account_number,branch_id,account_type,create_tsp
ACC20260311_00001,CUS20260311_00001,7428220047,BR107,Savings,2026-03-11 13:33:31
ACC20260311_00002,CUS20260311_00002,4409813353,BR107,Savings,2026-03-11 13:33:31
ACC20260311_00003,CUS20260311_00003,1758906444,BR104,Savings,2026-03-11 13:33:31
ACC20260311_00004,CUS20260311_00004,9717890328,BR101,Savings,2026-03-11 13:33:31
ACC20260311_00005,CUS20260311_00005,1858790419,BR110,Current,2026-03-11 13:33:31
ACC20260311_00006,CUS20260311_00006,9196935406,BR109,Current,2026-03-11 13:33:31
ACC20260311_00007,CUS20260311_00007,5805657642,BR103,Savings,2026-03-11 13:33:31
ACC20260311_00008,CUS20260311_00008,1834342114,BR104,Current,2026-03-11 13:33:31
ACC20260311_00009,CUS20260311_00009,1161737318,BR105,Savings,2026-03-11 13:33:31
ACC20260311_00010,CUS20260311_00010,1061762322,BR110,Current,2026-03-11 13:33:31
ACC20260311_00011,CUS20260311_00011,6033159972,BR106,Savings,2026-03-11 13:33:31
ACC20260311_00012,CUS20260311_00012,2858284522,BR106,Current,2026-03-11 13:33:31
ACC20260311_00013,CUS20260311_00013,8298913802,BR110,Savings,2026-03-11 13:33:31
ACC20260311_00014,CUS20260311_00014,3736376418,BR106,Current,2026-03-11 13:33:31
ACC20260311_00015,CUS20260311_00015,4352062126,BR102,Savings,2026-03-11 13:33:31
ACC20260311_00016,CUS20260311_00016,6708957731,BR106,Savings,2026-03-11 13:33:31
ACC20260311_00017,CUS20260311_00017,8681084685,BR104,Current,2026-03-11 13:33:31
ACC20260311_00018,CUS20260311_00018,6702127862,BR104,Current,2026-03-11 13:33:31
ACC20260311_00019,CUS20260311_00019,7899713366,BR107,Current,2026-03-11 13:33:31
ACC20260311_00020,CUS20260311_00020,9800558725,BR108,Current,2026-03-11 13:33:31
ACC20260311_00021,CUS20260311_00021,1102742038,BR107,Savings,2026-03-11 13:33:31
ACC20260311_00022,CUS20260311_00022,6657913357,BR102,Savings,2026-03-11 13:33:31
ACC20260311_00023,CUS20260311_00023,5927559403,BR107,Savings,2026-03-11 13:33:31
ACC20260311_00024,CUS20260311_00024,7218896277,BR101,Current,2026-03-11 13:33:31
ACC20260311_00025,CUS20260311_00025,9523888949,BR102,Current,2026-03-11 13:33:31
ACC20260311_00026,CUS20260311_00026,3256352261,BR105,Savings,2026-03-11 13:33:31
ACC20260311_00027,CUS20260311_00027,4384915866,BR105,Savings,2026-03-11 13:33:31
ACC20260311_00028,CUS20260311_00028,5089044978,BR110,Current,2026-03-11 13:33:31
ACC20260311_00029,CUS20260311_00029,6267573505,BR107,Savings,2026-03-11 13:33:31
ACC20260311_00030,CUS20260311_00030,6494785119,BR109,Current,2026-03-11 13:33:31
ACC20260311_00031,CUS20260311_00031,2292444074,BR104,Savings,2026-03-11 13:33:31
ACC20260311_00032,CUS20260311_00032,9618515504,BR108,Current,2026-03-11 13:33:31
