transaction_id,account_id,account_number,customer_id,txn_date,txn_amount,transaction_type
TXN20022026000,ACC20022026001,0011011001,CUST20022026001,20-02-2026,3602,Credit
TXN20022026001,ACC20022026002,0021041001,CUST20022026002,20-02-2026,2912,Credit
TXN20022026002,ACC20022026003,0031051001,CUST20022026003,20-02-2026,1812,Credit
TXN20022026003,ACC20022026004,0041051001,CUST20022026004,20-02-2026,3752,Debit
TXN20022026004,ACC20022026005,0051051001,CUST20022026005,20-02-2026,4258,Debit
TXN20022026005,ACC20022026006,0061051001,CUST20022026006,20-02-2026,1400,Credit
TXN20022026006,ACC20022026007,0071031001,CUST20022026007,20-02-2026,2931,Credit
TXN20022026007,ACC20022026008,0081051001,CUST20022026008,20-02-2026,2745,Credit
TXN20022026008,ACC20022026009,0091051001,CUST20022026009,20-02-2026,1673,Debit
TXN20022026009,ACC20022026010,0101051001,CUST20022026010,20-02-2026,4290,Debit
TXN20022026010,ACC20022026011,0111021001,CUST20022026011,20-02-2026,975,Debit
TXN20022026011,ACC20022026012,0121021001,CUST20022026012,20-02-2026,4788,Credit
TXN20022026012,ACC20022026013,0131051001,CUST20022026013,20-02-2026,3151,Credit
TXN20022026013,ACC20022026014,0141041001,CUST20022026014,20-02-2026,3686,Debit
TXN20022026014,ACC20022026015,0151021001,CUST20022026015,20-02-2026,4632,Debit
TXN20022026015,ACC20022026016,0161021001,CUST20022026016,20-02-2026,866,Credit
TXN20022026016,ACC20022026017,0171041001,CUST20022026017,20-02-2026,3182,Credit
TXN20022026017,ACC20022026018,0181031001,CUST20022026018,20-02-2026,964,Credit
TXN20022026018,ACC20022026019,0191031001,CUST20022026019,20-02-2026,2510,Credit
TXN20022026019,ACC20022026020,0201021001,CUST20022026020,20-02-2026,3578,Credit
TXN20022026020,ACC20022026021,0211041001,CUST20022026021,20-02-2026,3139,Debit
TXN20022026021,ACC20022026022,0221051001,CUST20022026022,20-02-2026,4491,Debit
TXN20022026022,ACC20022026023,0231011001,CUST20022026023,20-02-2026,1513,Credit
TXN20022026023,ACC20022026024,0241021001,CUST20022026024,20-02-2026,4934,Debit
TXN20022026024,ACC20022026025,0251021001,CUST20022026025,20-02-2026,3822,Credit
TXN20022026025,ACC20022026026,0261021001,CUST20022026026,20-02-2026,3614,Credit
TXN20022026026,ACC20022026027,0271051001,CUST20022026027,20-02-2026,1510,Debit
TXN20022026027,ACC20022026028,0281051001,CUST20022026028,20-02-2026,1742,Credit
TXN20022026028,ACC20022026029,0291051001,CUST20022026029,20-02-2026,3245,Credit
TXN20022026029,ACC20022026030,0301011001,CUST20022026030,20-02-2026,3476,Credit
TXN20022026030,ACC20022026031,0311031001,CUST20022026031,20-02-2026,2413,Credit
TXN20022026031,ACC20022026032,0321011001,CUST20022026032,20-02-2026,3904,Credit
TXN20022026032,ACC20022026033,0331031001,CUST20022026033,20-02-2026,3012,Credit
TXN20022026033,ACC20022026034,0341031001,CUST20022026034,20-02-2026,1831,Credit
TXN20022026034,ACC20022026035,0351021001,CUST20022026035,20-02-2026,1796,Credit
TXN20022026035,ACC20022026036,0361011001,CUST20022026036,20-02-2026,3029,Credit
TXN20022026036,ACC20022026037,0371011001,CUST20022026037,20-02-2026,1916,Credit
TXN20022026037,ACC20022026038,0381031001,CUST20022026038,20-02-2026,2402,Credit
TXN20022026038,ACC20022026039,0391041001,CUST20022026039,20-02-2026,1784,Debit
TXN20022026039,ACC20022026040,0401041001,CUST20022026040,20-02-2026,1251,Debit
TXN20022026040,ACC20022026041,0411011001,CUST20022026041,20-02-2026,4062,Debit
TXN20022026041,ACC20022026042,0421011001,CUST20022026042,20-02-2026,3187,Debit
