account_id,customer_id,account_number,branch_id,account_type,create_tsp
ACC20260306_00001,CUS20260306_00001,ACC91011981,BR101,Current,2026-03-06 11:54:10
ACC20260306_00002,CUS20260306_00002,ACC53390226,BR104,Current,2026-03-06 11:54:10
ACC20260306_00003,CUS20260306_00003,ACC24964224,BR102,Savings,2026-03-06 11:54:10
ACC20260306_00004,CUS20260306_00004,ACC66793183,BR108,Current,2026-03-06 11:54:10
ACC20260306_00005,CUS20260306_00005,ACC66409657,BR101,Savings,2026-03-06 11:54:10
ACC20260306_00006,CUS20260306_00006,ACC49863015,BR103,Savings,2026-03-06 11:54:10
ACC20260306_00007,CUS20260306_00007,ACC75551488,BR106,Savings,2026-03-06 11:54:10
ACC20260306_00008,CUS20260306_00008,ACC37770007,BR101,Savings,2026-03-06 11:54:10
ACC20260306_00009,CUS20260306_00009,ACC40053548,BR110,Current,2026-03-06 11:54:10
ACC20260306_00010,CUS20260306_00010,ACC27575229,BR107,Savings,2026-03-06 11:54:10
ACC20260306_00011,CUS20260306_00011,ACC38418270,BR101,Current,2026-03-06 11:54:10
ACC20260306_00012,CUS20260306_00012,ACC29820905,BR110,Current,2026-03-06 11:54:10
ACC20260306_00013,CUS20260306_00013,ACC17150695,BR101,Savings,2026-03-06 11:54:10
ACC20260306_00014,CUS20260306_00014,ACC12269877,BR102,Savings,2026-03-06 11:54:10
ACC20260306_00015,CUS20260306_00015,ACC46387344,BR102,Current,2026-03-06 11:54:10
ACC20260306_00016,CUS20260306_00016,ACC99240239,BR106,Current,2026-03-06 11:54:10
ACC20260306_00017,CUS20260306_00017,ACC41801546,BR105,Savings,2026-03-06 11:54:10
ACC20260306_00018,CUS20260306_00018,ACC35001690,BR102,Current,2026-03-06 11:54:10
ACC20260306_00019,CUS20260306_00019,ACC30153085,BR102,Savings,2026-03-06 11:54:10
ACC20260306_00020,CUS20260306_00020,ACC23029875,BR104,Savings,2026-03-06 11:54:10
ACC20260306_00021,CUS20260306_00021,ACC80644499,BR109,Current,2026-03-06 11:54:10
ACC20260306_00022,CUS20260306_00022,ACC98932428,BR108,Savings,2026-03-06 11:54:10
ACC20260306_00023,CUS20260306_00023,ACC15221616,BR107,Current,2026-03-06 11:54:10
ACC20260306_00024,CUS20260306_00024,ACC64825641,BR105,Current,2026-03-06 11:54:10
ACC20260306_00025,CUS20260306_00025,ACC56181563,BR104,Savings,2026-03-06 11:54:10
ACC20260306_00026,CUS20260306_00026,ACC12439565,BR102,Savings,2026-03-06 11:54:10
ACC20260306_00027,CUS20260306_00027,ACC67558445,BR107,Current,2026-03-06 11:54:10
ACC20260306_00028,CUS20260306_00028,ACC26398525,BR107,Current,2026-03-06 11:54:10
ACC20260306_00029,CUS20260306_00029,ACC87652985,BR110,Current,2026-03-06 11:54:10
ACC20260306_00030,CUS20260306_00030,ACC63589237,BR101,Current,2026-03-06 11:54:10
ACC20260306_00031,CUS20260306_00031,ACC73058783,BR104,Current,2026-03-06 11:54:10
ACC20260306_00032,CUS20260306_00032,ACC96206562,BR108,Savings,2026-03-06 11:54:10
ACC20260306_00033,CUS20260306_00033,ACC96199546,BR105,Current,2026-03-06 11:54:10
ACC20260306_00034,CUS20260306_00034,ACC17034649,BR107,Current,2026-03-06 11:54:10
ACC20260306_00035,CUS20260306_00035,ACC23770122,BR102,Current,2026-03-06 11:54:10
ACC20260306_00036,CUS20260306_00036,ACC29274248,BR104,Current,2026-03-06 11:54:10
ACC20260306_00037,CUS20260306_00037,ACC68956725,BR107,Savings,2026-03-06 11:54:10
ACC20260306_00038,CUS20260306_00038,ACC83559257,BR106,Savings,2026-03-06 11:54:10
ACC20260306_00039,CUS20260306_00039,ACC32826388,BR106,Current,2026-03-06 11:54:10
ACC20260306_00040,CUS20260306_00040,ACC80090015,BR106,Savings,2026-03-06 11:54:10
ACC20260306_00041,CUS20260306_00041,ACC33674443,BR103,Current,2026-03-06 11:54:10
ACC20260306_00042,CUS20260306_00042,ACC73833291,BR106,Savings,2026-03-06 11:54:10
ACC20260306_00043,CUS20260306_00043,ACC90497863,BR109,Current,2026-03-06 11:54:10
ACC20260306_00044,CUS20260306_00044,ACC20727132,BR105,Current,2026-03-06 11:54:10
ACC20260306_00045,CUS20260306_00045,ACC34499294,BR104,Current,2026-03-06 11:54:10
ACC20260306_00046,CUS20260306_00046,ACC48725391,BR101,Savings,2026-03-06 11:54:10
ACC20260306_00047,CUS20260306_00047,ACC51152544,BR109,Savings,2026-03-06 11:54:10
ACC20260306_00048,CUS20260306_00048,ACC89963672,BR110,Current,2026-03-06 11:54:10
ACC20260306_00049,CUS20260306_00049,ACC71790681,BR101,Current,2026-03-06 11:54:10
ACC20260306_00050,CUS20260306_00050,ACC61435898,BR106,Current,2026-03-06 11:54:10
